"","Mitigation measure","region","reduction","total","1p5 emissions","Ref emissions","difference","share"
"1","Ref emissions","US",81.6921476297715,-56.265522780972,0.96888678201715,81.6921476297715,-80.7232608477543,-1.45190417847496
"2","Energy efficiency","US",-15.9769576208348,-56.265522780972,0.96888678201715,81.6921476297715,-80.7232608477543,0.197922599422335
"3","Material efficiency","US",-25.8378125451472,-56.265522780972,0.96888678201715,81.6921476297715,-80.7232608477543,0.32007890010635
"4","Price-induced demand reduction","US",-5.85364479652932,-56.265522780972,0.96888678201715,81.6921476297715,-80.7232608477543,0.0725149694778734
"5","High scrap use","US",-5.00643597833296,-56.265522780972,0.96888678201715,81.6921476297715,-80.7232608477543,0.0620197440707356
"6","H2 contribution","US",-18.9072623207904,-56.265522780972,0.96888678201715,81.6921476297715,-80.7232608477543,0.234223222925173
"7","CCUS","US",-9.1411475861197,-56.265522780972,0.96888678201715,81.6921476297715,-80.7232608477543,0.113240563997533
"8","1p5 emissions","US",0.96888678201715,-56.265522780972,0.96888678201715,81.6921476297715,-80.7232608477543,-0.0172199018889203
"9","Ref emissions","ROW",592.977905686,-445.672195623961,29.3550901797047,592.977905686,-563.622815506295,-1.33052479268042
"10","Energy efficiency","ROW",-85.0653564341622,-445.672195623961,29.3550901797047,592.977905686,-563.622815506295,0.150926034386577
"11","Material efficiency","ROW",-133.530458005135,-445.672195623961,29.3550901797047,592.977905686,-563.622815506295,0.236914571822623
"12","Price-induced demand reduction","ROW",-41.6251448429491,-445.672195623961,29.3550901797047,592.977905686,-563.622815506295,0.0738528386320872
"13","High scrap use","ROW",-0.739762815086169,-445.672195623961,29.3550901797047,592.977905686,-563.622815506295,0.00131251396276719
"14","H2 contribution","ROW",-157.753899716414,-445.672195623961,29.3550901797047,592.977905686,-563.622815506295,0.279892678891477
"15","CCUS","ROW",-144.908193692549,-445.672195623961,29.3550901797047,592.977905686,-563.622815506295,0.257101362304469
"16","1p5 emissions","ROW",29.3550901797047,-445.672195623961,29.3550901797047,592.977905686,-563.622815506295,-0.06586699926076
"17","Ref emissions","China",1492.53697319739,-1611.62114906229,23.0196836638482,1492.53697319739,-1469.51728953354,-0.926109075985886
