"","region","year","value","scenario","sector","Units"
"41","South Korea",2005,48,"Reference","iron and steel","Mt"
"42","EU-27",2005,198,"Reference","iron and steel","Mt"
"43","Global",2006,1239.29,"Reference","iron and steel","Mt"
"44","US",2006,98,"Reference","iron and steel","Mt"
"45","China",2006,421,"Reference","iron and steel","Mt"
"46","India",2006,49,"Reference","iron and steel","Mt"
"47","Japan",2006,116,"Reference","iron and steel","Mt"
"48","South Korea",2006,48,"Reference","iron and steel","Mt"
"49","EU-27",2006,209,"Reference","iron and steel","Mt"
"50","Global",2007,1325.06,"Reference","iron and steel","Mt"
"51","US",2007,98,"Reference","iron and steel","Mt"
"52","China",2007,490,"Reference","iron and steel","Mt"
"53","India",2007,53,"Reference","iron and steel","Mt"
"54","Japan",2007,120,"Reference","iron and steel","Mt"
"55","South Korea",2007,52,"Reference","iron and steel","Mt"
"56","EU-27",2007,212,"Reference","iron and steel","Mt"
"57","Global",2008,1308.75,"Reference","iron and steel","Mt"
"58","US",2008,92,"Reference","iron and steel","Mt"
"59","China",2008,512,"Reference","iron and steel","Mt"
"60","India",2008,58,"Reference","iron and steel","Mt"
"61","Japan",2008,119,"Reference","iron and steel","Mt"
"62","South Korea",2008,54,"Reference","iron and steel","Mt"
"63","EU-27",2008,201,"Reference","iron and steel","Mt"
"64","Global",2009,1215.98,"Reference","iron and steel","Mt"
"65","US",2009,59,"Reference","iron and steel","Mt"
"66","China",2009,577,"Reference","iron and steel","Mt"
"67","India",2009,64,"Reference","iron and steel","Mt"
"68","Japan",2009,88,"Reference","iron and steel","Mt"
"69","South Korea",2009,49,"Reference","iron and steel","Mt"
"70","EU-27",2009,141,"Reference","iron and steel","Mt"
"71","Global",2010,1419.63,"Reference","iron and steel","Mt"
"72","US",2010,80,"Reference","iron and steel","Mt"
"73","China",2010,639,"Reference","iron and steel","Mt"
"74","India",2010,69,"Reference","iron and steel","Mt"
"75","Japan",2010,110,"Reference","iron and steel","Mt"
"76","South Korea",2010,59,"Reference","iron and steel","Mt"
"77","EU-27",2010,175,"Reference","iron and steel","Mt"
"78","Global",2011,1530.7,"Reference","iron and steel","Mt"
"79","US",2011,86,"Reference","iron and steel","Mt"
"80","China",2011,702,"Reference","iron and steel","Mt"
"81","India",2011,73,"Reference","iron and steel","Mt"
"82","Japan",2011,108,"Reference","iron and steel","Mt"
"83","South Korea",2011,69,"Reference","iron and steel","Mt"
"84","EU-27",2011,180,"Reference","iron and steel","Mt"
"85","Global",2012,1558.88,"Reference","iron and steel","Mt"
"86","US",2012,89,"Reference","iron and steel","Mt"
"87","China",2012,731,"Reference","iron and steel","Mt"
"88","India",2012,77,"Reference","iron and steel","Mt"
"89","Japan",2012,107,"Reference","iron and steel","Mt"
"90","South Korea",2012,69,"Reference","iron and steel","Mt"
"91","EU-27",2012,171,"Reference","iron and steel","Mt"
"92","Global",2013,1664.1,"Reference","iron and steel","Mt"
"93","US",2013,87,"Reference","iron and steel","Mt"
"94","China",2013,822,"Reference","iron and steel","Mt"
"95","India",2013,81,"Reference","iron and steel","Mt"
"96","Japan",2013,111,"Reference","iron and steel","Mt"
"97","South Korea",2013,66,"Reference","iron and steel","Mt"
"98","EU-27",2013,169,"Reference","iron and steel","Mt"
"99","Global",2014,1678.4,"Reference","iron and steel","Mt"
"100","US",2014,88,"Reference","iron and steel","Mt"
"101","China",2014,822,"Reference","iron and steel","Mt"
"102","India",2014,87,"Reference","iron and steel","Mt"
"103","Japan",2014,111,"Reference","iron and steel","Mt"
"104","South Korea",2014,72,"Reference","iron and steel","Mt"
"105","EU-27",2014,171,"Reference","iron and steel","Mt"
"106","Global",2015,1626.14,"Reference","iron and steel","Mt"
"107","US",2015,79,"Reference","iron and steel","Mt"
"108","China",2015,804,"Reference","iron and steel","Mt"
"109","India",2015,89,"Reference","iron and steel","Mt"
"110","Japan",2015,105,"Reference","iron and steel","Mt"
"111","South Korea",2015,70,"Reference","iron and steel","Mt"
"112","EU-27",2015,178,"Reference","iron and steel","Mt"
"113","Global",2016,1640.4,"Reference","iron and steel","Mt"
"114","US",2016,78,"Reference","iron and steel","Mt"
"115","China",2016,808,"Reference","iron and steel","Mt"
"116","India",2016,95,"Reference","iron and steel","Mt"
"117","Japan",2016,105,"Reference","iron and steel","Mt"
"118","South Korea",2016,69,"Reference","iron and steel","Mt"
"119","EU-27",2016,175,"Reference","iron and steel","Mt"
"120","Global",2017,1759.89,"Reference","iron and steel","Mt"
"121","US",2017,82,"Reference","iron and steel","Mt"
"122","China",2017,871,"Reference","iron and steel","Mt"
"123","India",2017,101,"Reference","iron and steel","Mt"
"124","Japan",2017,105,"Reference","iron and steel","Mt"
"125","South Korea",2017,71,"Reference","iron and steel","Mt"
"126","EU-27",2017,182,"Reference","iron and steel","Mt"
"127","Global",2018,1835.81,"Reference","iron and steel","Mt"
"128","US",2018,87,"Reference","iron and steel","Mt"
"129","China",2018,928,"Reference","iron and steel","Mt"
"130","India",2018,109,"Reference","iron and steel","Mt"
"131","Japan",2018,104,"Reference","iron and steel","Mt"
"132","South Korea",2018,72,"Reference","iron and steel","Mt"
"133","EU-27",2018,179,"Reference","iron and steel","Mt"
"134","Global",2019,1875,"Reference","iron and steel","Mt"
"135","US",2019,88,"Reference","iron and steel","Mt"
"136","China",2019,996,"Reference","iron and steel","Mt"
"137","India",2019,111,"Reference","iron and steel","Mt"
"138","Japan",2019,99,"Reference","iron and steel","Mt"
"139","South Korea",2019,71,"Reference","iron and steel","Mt"
"140","EU-27",2019,170,"Reference","iron and steel","Mt"
"141","Global",2020,1916.25,"Reference","iron and steel","Mt"
"142","US",2020,87,"Reference","iron and steel","Mt"
"143","China",2020,1024,"Reference","iron and steel","Mt"
"144","India",2020,119,"Reference","iron and steel","Mt"
"145","Japan",2020,98,"Reference","iron and steel","Mt"
"146","South Korea",2020,72,"Reference","iron and steel","Mt"
"147","EU-27",2020,171,"Reference","iron and steel","Mt"
"148","China",2020,1039.056405,"Material efficiency and price increase","iron and steel","Mt"
"149","China",2020,1058.934133,"Reference","iron and steel","Mt"
"150","China",2020,1058.934953,"Material efficiency","iron and steel","Mt"
"151","China",2025,926.840092,"Material efficiency and price increase","iron and steel","Mt"
"152","China",2025,1087.975011,"Reference","iron and steel","Mt"
"153","China",2025,1053.9929056,"Material efficiency","iron and steel","Mt"
"154","China",2030,886.491118,"Material efficiency and price increase","iron and steel","Mt"
"155","China",2030,1060.59263676,"Reference","iron and steel","Mt"
"156","China",2030,996.31434593,"Material efficiency","iron and steel","Mt"
"157","China",2035,818.1122193,"Material efficiency and price increase","iron and steel","Mt"
"158","China",2035,999.92990841,"Reference","iron and steel","Mt"
"159","China",2035,911.65190829,"Material efficiency","iron and steel","Mt"
"160","China",2040,723.9054552,"Material efficiency and price increase","iron and steel","Mt"
"161","China",2040,941.43783648,"Reference","iron and steel","Mt"
"162","China",2040,833.6032863,"Material efficiency","iron and steel","Mt"
"163","China",2045,641.127972534,"Material efficiency and price increase","iron and steel","Mt"
"164","China",2045,868.93946017,"Reference","iron and steel","Mt"
"165","China",2045,744.96895767,"Material efficiency","iron and steel","Mt"
"166","China",2050,548.215959560743,"Material efficiency and price increase","iron and steel","Mt"
"167","China",2050,787.74699009,"Reference","iron and steel","Mt"
"168","China",2050,652.03165452,"Material efficiency","iron and steel","Mt"
"169","EU-27",2020,171.14804053,"Material efficiency and price increase","iron and steel","Mt"
"170","EU-27",2020,172.53189119,"Reference","iron and steel","Mt"
"171","EU-27",2020,172.28664253,"Material efficiency","iron and steel","Mt"
"172","EU-27",2025,157.50329064,"Material efficiency and price increase","iron and steel","Mt"
"173","EU-27",2025,179.70934432,"Reference","iron and steel","Mt"
"174","EU-27",2025,169.97631712,"Material efficiency","iron and steel","Mt"
"175","EU-27",2030,151.883032598,"Material efficiency and price increase","iron and steel","Mt"
"176","EU-27",2030,181.436675965,"Reference","iron and steel","Mt"
"177","EU-27",2030,163.284996009,"Material efficiency","iron and steel","Mt"
"178","EU-27",2035,144.913422203,"Material efficiency and price increase","iron and steel","Mt"
"179","EU-27",2035,180.111583539,"Reference","iron and steel","Mt"
"180","EU-27",2035,154.220642918,"Material efficiency","iron and steel","Mt"
"181","EU-27",2040,135.01610905,"Material efficiency and price increase","iron and steel","Mt"
"182","EU-27",2040,177.98704306,"Reference","iron and steel","Mt"
"183","EU-27",2040,145.07693621,"Material efficiency","iron and steel","Mt"
"184","EU-27",2045,122.6875684434,"Material efficiency and price increase","iron and steel","Mt"
"185","EU-27",2045,175.42129087,"Reference","iron and steel","Mt"
"186","EU-27",2045,133.99411187,"Material efficiency","iron and steel","Mt"
"187","EU-27",2050,110.950532486291,"Material efficiency and price increase","iron and steel","Mt"
"188","EU-27",2050,171.57225493,"Reference","iron and steel","Mt"
"189","EU-27",2050,123.78012261,"Material efficiency","iron and steel","Mt"
"190","Global",2020,1925.82125067155,"Material efficiency and price increase","iron and steel","Mt"
"191","Global",2020,1948.42513696162,"Reference","iron and steel","Mt"
"192","Global",2020,1947.79539770934,"Material efficiency","iron and steel","Mt"
"193","Global",2025,1867.98308738596,"Material efficiency and price increase","iron and steel","Mt"
"194","Global",2025,2137.97206012833,"Reference","iron and steel","Mt"
"195","Global",2025,2059.18486937603,"Material efficiency","iron and steel","Mt"
"196","Global",2030,1928.74774198844,"Material efficiency and price increase","iron and steel","Mt"
"197","Global",2030,2259.69191630964,"Reference","iron and steel","Mt"
"198","Global",2030,2106.07211753847,"Material efficiency","iron and steel","Mt"
"199","Global",2035,1953.70205156421,"Material efficiency and price increase","iron and steel","Mt"
"200","Global",2035,2342.83130808274,"Reference","iron and steel","Mt"
"201","Global",2035,2113.57234864394,"Material efficiency","iron and steel","Mt"
"202","Global",2040,1929.33134721768,"Material efficiency and price increase","iron and steel","Mt"
"203","Global",2040,2422.92125337861,"Reference","iron and steel","Mt"
"204","Global",2040,2114.34801091635,"Material efficiency","iron and steel","Mt"
"205","Global",2045,1891.87730701331,"Material efficiency and price increase","iron and steel","Mt"
"206","Global",2045,2477.2486877492,"Reference","iron and steel","Mt"
"207","Global",2045,2084.18858410222,"Material efficiency","iron and steel","Mt"
"208","Global",2050,1823.00337639647,"Material efficiency and price increase","iron and steel","Mt"
"209","Global",2050,2504.28813713438,"Reference","iron and steel","Mt"
"210","Global",2050,2033.75451615249,"Material efficiency","iron and steel","Mt"
"211","India",2020,117.522655,"Material efficiency and price increase","iron and steel","Mt"
"212","India",2020,117.657917,"Reference","iron and steel","Mt"
"213","India",2020,117.658195,"Material efficiency","iron and steel","Mt"
"214","India",2025,199.811225,"Material efficiency and price increase","iron and steel","Mt"
"215","India",2025,216.656135,"Reference","iron and steel","Mt"
"216","India",2025,210.053615,"Material efficiency","iron and steel","Mt"
"217","India",2030,264.8126738,"Material efficiency and price increase","iron and steel","Mt"
"218","India",2030,299.7038915,"Reference","iron and steel","Mt"
"219","India",2030,281.4803708,"Material efficiency","iron and steel","Mt"
"220","India",2035,321.9259723,"Material efficiency and price increase","iron and steel","Mt"
"221","India",2035,380.0769987,"Reference","iron and steel","Mt"
"222","India",2035,345.5792316,"Material efficiency","iron and steel","Mt"
"223","India",2040,369.390180651,"Material efficiency and price increase","iron and steel","Mt"
"224","India",2040,455.0086594,"Reference","iron and steel","Mt"
"225","India",2040,399.6312623,"Material efficiency","iron and steel","Mt"
"226","India",2045,406.665772367174,"Material efficiency and price increase","iron and steel","Mt"
"227","India",2045,520.4447584,"Reference","iron and steel","Mt"
"228","India",2045,440.9681961,"Material efficiency","iron and steel","Mt"
"229","India",2050,431.609829411375,"Material efficiency and price increase","iron and steel","Mt"
"230","India",2050,573.2050102,"Reference","iron and steel","Mt"
"231","India",2050,470.1955478,"Material efficiency","iron and steel","Mt"
"232","Japan",2020,99.10193622,"Material efficiency and price increase","iron and steel","Mt"
"233","Japan",2020,99.33663578,"Reference","iron and steel","Mt"
"234","Japan",2020,99.33699444,"Material efficiency","iron and steel","Mt"
"235","Japan",2025,82.15888356,"Material efficiency and price increase","iron and steel","Mt"
"236","Japan",2025,97.9745852,"Reference","iron and steel","Mt"
"237","Japan",2025,91.28619378,"Material efficiency","iron and steel","Mt"
"238","Japan",2030,77.67930228,"Material efficiency and price increase","iron and steel","Mt"
"239","Japan",2030,94.87844414,"Reference","iron and steel","Mt"
"240","Japan",2030,84.98236855,"Material efficiency","iron and steel","Mt"
"241","Japan",2035,74.8102614,"Material efficiency and price increase","iron and steel","Mt"
"242","Japan",2035,91.90306041,"Reference","iron and steel","Mt"
"243","Japan",2035,79.60618411,"Material efficiency","iron and steel","Mt"
"244","Japan",2040,69.2847924,"Material efficiency and price increase","iron and steel","Mt"
"245","Japan",2040,88.9431384,"Reference","iron and steel","Mt"
"246","Japan",2040,74.75398844,"Material efficiency","iron and steel","Mt"
"247","Japan",2045,62.1730002871,"Material efficiency and price increase","iron and steel","Mt"
"248","Japan",2045,85.930874,"Reference","iron and steel","Mt"
"249","Japan",2045,69.93564653,"Material efficiency","iron and steel","Mt"
"250","Japan",2050,55.1762641906509,"Material efficiency and price increase","iron and steel","Mt"
"251","Japan",2050,82.9121585,"Reference","iron and steel","Mt"
"252","Japan",2050,65.3542088,"Material efficiency","iron and steel","Mt"
"253","ROW",2020,338.630042501547,"Material efficiency and price increase","iron and steel","Mt"
"254","ROW",2020,338.450307381616,"Reference","iron and steel","Mt"
"255","ROW",2020,338.807719749342,"Material efficiency","iron and steel","Mt"
"256","ROW",2025,356.213112555959,"Material efficiency and price increase","iron and steel","Mt"
"257","ROW",2025,390.437982738329,"Reference","iron and steel","Mt"
"258","ROW",2025,378.534534636031,"Material efficiency","iron and steel","Mt"
"259","ROW",2030,406.23886281044,"Material efficiency and price increase","iron and steel","Mt"
"260","ROW",2030,456.134350924637,"Reference","iron and steel","Mt"
"261","ROW",2030,428.377483959471,"Material efficiency","iron and steel","Mt"
"262","ROW",2035,456.691009544212,"Material efficiency and price increase","iron and steel","Mt"
"263","ROW",2035,523.880833553744,"Reference","iron and steel","Mt"
"264","ROW",2035,476.297612346944,"Material efficiency","iron and steel","Mt"
"265","ROW",2040,500.365926822679,"Material efficiency and price increase","iron and steel","Mt"
"266","ROW",2040,594.498215358606,"Reference","iron and steel","Mt"
"267","ROW",2040,522.084783836351,"Material efficiency","iron and steel","Mt"
"268","ROW",2045,534.914684684505,"Material efficiency and price increase","iron and steel","Mt"
"269","ROW",2045,664.746085989196,"Reference","iron and steel","Mt"
"270","ROW",2045,563.177840672217,"Material efficiency","iron and steel","Mt"
"271","ROW",2050,560.936407346292,"Material efficiency and price increase","iron and steel","Mt"
"272","ROW",2050,731.42203361438,"Reference","iron and steel","Mt"
"273","ROW",2050,599.92613292249,"Material efficiency","iron and steel","Mt"
"274","South Korea",2020,71.36148087,"Material efficiency and price increase","iron and steel","Mt"
"275","South Korea",2020,72.35394992,"Reference","iron and steel","Mt"
"276","South Korea",2020,71.61056938,"Material efficiency","iron and steel","Mt"
"277","South Korea",2025,62.4193728,"Material efficiency and price increase","iron and steel","Mt"
"278","South Korea",2025,71.86497188,"Reference","iron and steel","Mt"
"279","South Korea",2025,68.5775581,"Material efficiency","iron and steel","Mt"
"280","South Korea",2030,58.42371889,"Material efficiency and price increase","iron and steel","Mt"
"281","South Korea",2030,70.70709531,"Reference","iron and steel","Mt"
"282","South Korea",2030,64.96351541,"Material efficiency","iron and steel","Mt"
"283","South Korea",2035,54.38750633,"Material efficiency and price increase","iron and steel","Mt"
"284","South Korea",2035,68.62750554,"Reference","iron and steel","Mt"
"285","South Korea",2035,60.61786652,"Material efficiency","iron and steel","Mt"
"286","South Korea",2040,50.19133028,"Material efficiency and price increase","iron and steel","Mt"
"287","South Korea",2040,65.41918983,"Reference","iron and steel","Mt"
"288","South Korea",2040,55.46537242,"Material efficiency","iron and steel","Mt"
"289","South Korea",2045,45.5066324198,"Material efficiency and price increase","iron and steel","Mt"
"290","South Korea",2045,61.4111625,"Reference","iron and steel","Mt"
"291","South Korea",2045,49.8883314,"Material efficiency","iron and steel","Mt"
"292","South Korea",2050,40.6426059157524,"Material efficiency and price increase","iron and steel","Mt"
"293","South Korea",2050,56.8374708,"Reference","iron and steel","Mt"
"294","South Korea",2050,44.1546646,"Material efficiency","iron and steel","Mt"
"295","US",2020,89.00069055,"Material efficiency and price increase","iron and steel","Mt"
"296","US",2020,89.16030269,"Reference","iron and steel","Mt"
"297","US",2020,89.16032361,"Material efficiency","iron and steel","Mt"
"298","US",2025,83.03711083,"Material efficiency and price increase","iron and steel","Mt"
"299","US",2025,93.35402999,"Reference","iron and steel","Mt"
"300","US",2025,86.76374514,"Material efficiency","iron and steel","Mt"
"301","US",2030,83.21903361,"Material efficiency and price increase","iron and steel","Mt"
"302","US",2030,96.23882171,"Reference","iron and steel","Mt"
"303","US",2030,86.66903688,"Material efficiency","iron and steel","Mt"
"304","US",2035,82.861660487,"Material efficiency and price increase","iron and steel","Mt"
"305","US",2035,98.30141793,"Reference","iron and steel","Mt"
"306","US",2035,85.598902859,"Material efficiency","iron and steel","Mt"
"307","US",2040,81.177552814,"Material efficiency and price increase","iron and steel","Mt"
"308","US",2040,99.62717085,"Reference","iron and steel","Mt"
"309","US",2040,83.73238141,"Material efficiency","iron and steel","Mt"
"310","US",2045,78.80167627733,"Material efficiency and price increase","iron and steel","Mt"
"311","US",2045,100.35505582,"Reference","iron and steel","Mt"
"312","US",2045,81.25549986,"Material efficiency","iron and steel","Mt"
"313","US",2050,75.4717774853616,"Material efficiency and price increase","iron and steel","Mt"
"314","US",2050,100.592219,"Reference","iron and steel","Mt"
"315","US",2050,78.3121849,"Material efficiency","iron and steel","Mt"
